utility,report_date,plan_start_year,plan_end_year,capex_plan_usd_m,revision_vs_prior_usd_m,dc_attributed_usd_m,dc_basis,source_type,source_detail,confidence
D,2024-03-01,2025,2029,43000,,,none,analyst_day,"Dominion Energy 2024 Investor Meeting (concluding multi-year 'top-to-bottom' business review), Mar 1 2024: $43B five-year plan 2025-2029 ($23B electric T&D, $6B solar/offshore wind, $2B nuclear license extension per CFO Steven Ridge). No explicit data-center $ attribution at this vintage.",H
D,2025-02-12,2025,2029,50100,6900,,qualitative,earnings_call,"Q4/FY2024 earnings call Feb 12 2025: raised 5-yr plan ~16% to $50.1B (2025-2029) from prior $43.2B. CEO Robert Blue: 'data center growth in Virginia is not slowing down'; 88% increase in contracted DC power capacity (19GW) Dec24 vs Jul24; 15 new DCs connected 2024, 15 more planned 2025. Press coverage cites a bundled '$17B for data center growth AND clean energy' figure within this plan, but since that figure mixes two categories it is not recorded here as a clean DC-only dc_attributed amount.",H
D,2026-02-23,2026,2030,64700,14600,,qualitative,earnings_call,"Q4/FY2025 earnings call Feb 23 2026: raised 5-yr plan 30% to $64.7B (2026-2030) from $50.1B. Contracted DC capacity ~48.5GW Dec2025 vs ~16.5GW Jul2023. Allocation: 25% electric transmission, 20% distribution, 18% new gas generation, 13% solar+storage. Includes $1B super-high-voltage transmission line for DC hubs and proposed 1,000MW gas plant (Chesterfield County). No single DC-only $ total confirmed for this vintage.",H
AEP,2022-11-11,2023,2027,40000,,,none,press_release,"AEP press release Nov 11 2022 'AEP to Focus Capital Investments on Regulated Businesses': $40B five-year plan 2023-2027 ($26B wires, $9B regulated renewables). No data-center mention (pre-AI-datacenter-boom messaging); baseline/pre-window vintage.",H
AEP,2024-11-06,2025,2029,54000,,,qualitative,earnings_call,"Q3 2024 earnings release Nov 6 2024, 'AEP Reports Third-Quarter 2024 Earnings, Introduces New Growth Rate and Capital Plan': expanded to $54B five-year plan (2025-2029). '20 GW of load through 2029 driven by data center demand and economic development'; 28GW new load backed by customer agreements. Company did not state the $ delta itself; revision left blank for loader to derive vs the 2022-11-11 baseline.",H
AEP,2025-10-29,2026,2030,72000,,,qualitative,earnings_call,"Q3 2025 earnings release Oct 29 2025: $72B five-year plan (2026-2030). Growth attributed to 'large load customers including data centers and industrials'; 28GW of load additions by 2030 backed by Electric Service Agreements/Letters of Agreement. $30B transmission, $20B generation, $17B distribution. No clean $ delta vs prior plan stated by the company; revision left blank for loader to derive.",H
AEP,2026-05-05,2026,2030,78000,6000,,qualitative,earnings_call,"Q1 2026 earnings release May 5 2026: capital plan raised $6B to $78B (2026-2030). Contracted load jumped to 63GW (+7GW since Dec2025), with ~90% of the increase from data centers/hyperscalers; long-term EPS CAGR raised to >9%; peak system demand seen rising from 37GW to 65GW by 2030.",H
NEE,2025-08-20,2026,2032,95000,,,none,rate_case,"FPL four-year base-rate settlement announced Aug 20 2025 (unanimously approved by Florida PSC Nov 20 2025); figure reaffirmed verbatim in NEE Q4/FY2025 earnings release Jan 27 2026: 'FPL expects to invest between $90 billion and $100 billion through 2032' (midpoint $95B used here). FPL President Scott Bores, on-record Q&A Jan 8 2026: the rate case 'was not driven by data centers' and 'large-scale data centers haven't quite made it to Florida yet' -- an explicit company statement that this plan is NOT data-center attributed, unlike the other DC-heaviest names. This is the only NEE vintage found with a clean, single total-$ multi-year figure despite extensive search (NEE's holding-company structure -- FPL rate-base plan vs. NextEra Energy Resources renewables/storage backlog reported in GW, not a comparable consolidated $ total across vintages -- made a second comparable data point unobtainable; see task report.",H
SO,2024-02-15,2024,2028,48000,5000,,none,earnings_call,"Q4/FY2023 earnings call Feb 15 2024 (trade-press recap Mar 6 2024, IIR Energy): boosted 5-yr capex program by $5B to $48B (2024-2028), excludes remaining Vogtle Unit 4 costs. No explicit data-center driver cited at this vintage.",H
SO,2025-02-20,2025,2029,63000,,,qualitative,earnings_call,"Q4/FY2024 earnings call Feb 20 2025: company-stated 30% increase to $63B five-year plan (2025-2029), explicitly driven by AI data-center and Southern US population growth. 95% directed to state-regulated utilities ($50.3B electric, $9.2B gas). Company stated the percentage, not a $ delta figure; revision left blank for loader to derive.",H
SO,2025-07-31,2025,2029,76000,13000,,qualitative,earnings_call,"Q2 2025 earnings call Jul 31 2025: '$13 billion increase in the five-year base capital plan to $76 billion' (2025-2029), driven by Georgia PSC approval of the Georgia Power 2025 IRP and related generation filings; record power consumption in 2025/2026 attributed to AI data centers/crypto.",H
SO,2026-02-20,2026,2030,81000,5000,,qualitative,earnings_call,"Q4/FY2025 earnings call Feb 20 2026: raised plan from $76B to $81B (2026-2030). Large-load/data-center contracted portfolio 17GW with minimum 15-year contracts and ~$21B aggregate customer collateral; marquee 25-yr OpenAI power deal; 75GW total large-load pipeline (10GW fully contracted, 10GW in late-stage discussions); ~$1.7B of customer bill benefit projected 2029-2031.",H
DUK,2024-02-08,2024,2028,73000,8000,,none,earnings_call,"Q4/FY2023 earnings call Feb 8 2024: five-year capital plan raised to $73B (2024-2028), an $8B increase, under a '100% regulated growth strategy' (50% grid investment). No explicit data-center driver cited at this vintage.",H
DUK,2025-02-13,2025,2029,83000,10000,,qualitative,earnings_call,"Q4/FY2024 earnings call Feb 13 2025: $83B five-year plan (2025-2029), a 13.7% increase from $73B ($10B increase used here). Company plans ~5GW of new gas generation in service by end-2029 to meet demand; $6.5B of equity issuance planned over the period.",H
DUK,2025-08-05,2025,2029,87000,4000,,qualitative,press_release,"Duke Energy-Brookfield press release Aug 5 2025 ('...expands capital plan to $87 billion'): $4B increase via a new Duke Energy Florida investment partnership. Forward-looking risk-factor language names 'lower than anticipated load growth, particularly if usage of electricity by data centers is less than currently projected' but no DC-specific $ figure is given for this vintage.",H
DUK,2026-02-10,2026,2030,103000,16000,,qualitative,earnings_call,"Q4/FY2025 earnings call Feb 10 2026: capital plan raised 18% to $103B (2026-2030) ($16B increase used here), described as the largest spending plan of any regulated US utility; ~65% to grid infrastructure and generation. Late-stage data-center pipeline ~9GW; separate Q1-2025 disclosure cited 2.7GW of newly contracted data centers; trade press frames this as a '14GW AI data center bet'. No single DC-only $ total confirmed.",H
ETR,2025-02-18,2025,2028,37000,2700,,qualitative,earnings_call,"Q4/FY2024 earnings call Feb 18 2025: capital plan updated to $37B over four years (2025-2028), '$2.7 billion higher than the previous plan.' Data-center pipeline described as growing (Utility Dive: 'gas continues to dominate Entergy plans as data center pipeline grows').",H
ETR,2025-10-29,2026,2029,41000,,,qualitative,earnings_call,"Q3 2025 earnings call Oct 29 2025: 2026-2029 capital plan updated to $41B. Data-center pipeline expanded to the 7-12GW hyperscale range (12GW upper end); $4.4B of equity targeted 2026-2029. No $ delta explicitly stated by the company; revision left blank for loader to derive.",H
ETR,2026-04-29,2026,2029,57000,14000,15000,stated,earnings_call,"Q1 2026 earnings call Apr 29 2026: '$14 billion' increase to $57B four-year plan (2026-2029), driven by Entergy Louisiana's 20-year electric service agreement with Meta (subsidiary Evest LLC; LPSC 'Lightning Initiative' filing). Meta deal itself detailed at ~$15B: seven combined-cycle gas turbines >5,200MW ($12.9B) + $1.5B transmission/facilities + $0.7B+ battery storage -- this is Entergy's own generation/transmission capex built to serve one named DC customer, recovered under the long-term contract, so recorded here as a clean stated DC-attributed figure. 2029 EPS target raised to $6.40.",H
ETR,2026-07-29,2026,2030,67000,,,qualitative,earnings_call,"Q2 2026 earnings materials, article dated Jul 29 2026: five-year capital plan now '$67 billion'. Hyperscale data-center pipeline still framed as 7-12GW plus 3-5GW traditional industrial interest. Sourced via a single secondary (Investing.com) recap rather than a directly-fetched primary earnings exhibit, and the exact plan_start_year is inferred from 'through end of decade' framing rather than stated outright -- confidence downgraded to M for this row.",M
XEL,2024-10-31,2025,2029,45000,,,qualitative,earnings_call,"Q3 2024 earnings call Oct 31 2024 (CEO Bob Frenzel): $45B five-year capital plan (2025-2029) explicitly 'partly to serve data centers'; data-center pipeline described as nearing 9GW.",H
XEL,2025-10-30,2026,2030,60000,15000,,qualitative,earnings_call,"Q3 2025 earnings call Oct 30 2025: '$15 billion' addition to the five-year plan, to $60B (2026-2030), targeting 11% rate-base CAGR. Data-center load ~3GW contracted by 2026, target of 6GW contracted by 2027; plan includes 7.5GW new renewables, 3GW new gas, 1.9GW storage, 1,500 miles of transmission and $5B of wildfire mitigation.",H
XEL,2026-07-30,2026,2030,70000,10000,,qualitative,earnings_call,"Q2 2026 earnings materials, article dated Jul 30 2026: total investment now '>$70 billion' through 2030 ($60B base plan plus $10B+ of 'line of sight' incremental opportunities, used as the stated $10B delta here). Data-center pipeline >20GW (~2GW contracted/under construction, 4GW target by 2027); management cites ~$6-8B of capex per 1GW of data-center load as a rule of thumb, but no specific dc_attributed $ total is computed here since it would require assuming how much of the incremental $10B is DC-caused vs. organic.",H
PCG,2024-02-22,2024,2028,62000,,,none,earnings_call,"Q4/FY2023 earnings call Feb 22 2024: five-year capital plan increased to $62B (2024-2028). No explicit data-center driver at this vintage (pre-DC-boom framing for PG&E).",H
PCG,2024-11-07,2024,2028,63000,1000,,qualitative,earnings_call,"Q3 2024 earnings release Nov 7 2024: 'PG&E Corporation increased its 5-year capital investment plan by $1 billion for a total of $63 billion' (2024-2028).",H
PCG,2025-09-29,2026,2030,73000,,,qualitative,analyst_day,"Investor call Sep 29 2025 (further detailed at Q3 2025 earnings Oct 23 2025): unveiled $73B five-year capital plan (2026-2030) explicitly to meet 'surging data center demand'. Data-center pipeline swelled to 10GW (from 8.7GW in May 2025, 5.5GW in Feb 2025); weighted-average rate base projected to grow from $69B to $106B over 2025-2030; PG&E estimates every 1GW of new DC load served can save customers 1-2% on bills long-term. Sourced via WebSearch summaries (direct fetch of the primary DCD/investor-call writeup returned HTTP 403); confidence downgraded to M for the exact report_date/figure pairing.",M
EIX,2025-11-05,2025,2028,28500,,,none,earnings_call,"Q3 2025 earnings call Nov 5 2025: SCE four-year capital plan of '$28 billion to $29 billion' (2025-2028; midpoint $28.5B used here). CEO Steven Powell, on record: SCE 'hasn't seen the same level of demand from data centers as other utilities' -- framed explicitly as a diversification benefit, not a DC-driven plan. 1-3% annual sales growth expected from EVs, residential and commercial/industrial growth instead.",H
EIX,2026-02-18,2026,2030,39050,,,none,10-K,"Edison International / SCE FY2025 Form 10-K, filed Feb 18 2026: SCE capex guided to '$37.5 billion to $40.6 billion' for 2026-2030 (midpoint $39.05B used here; 2025 actual SCE capex was $6.7B). No data-center-driven narrative attached to this utility's own plan, consistent with the Nov 2025 CEO statement. Note the horizon length changes from 4 years (prior row) to 5 years here, so the loader's derived revision is partly a horizon-length artifact, not a pure like-for-like revision -- flagged for interpretation in the results doc.",M
PPL,2025-02-13,2025,2028,20000,,,qualitative,earnings_call,"FY2024 earnings call Feb 13 2025: capital plan raised to $20B (2025-2028) from a prior $14.3B (2024-2027) -- 9.8% average annual rate-base growth, up from 6.3% over the prior plan period. Pennsylvania/Kentucky data-center demand cited as a driver of the increase; the $14.3B prior-plan level is not itself a row in this panel, so the loader will derive this row's revision as n/a (first PPL vintage tracked).",H
PPL,2026-02-23,2026,2029,23000,3000,,qualitative,earnings_call,"Q4/FY2025 earnings call Feb 20/23 2026: capital plan raised 15% (~$3B) to $23B (2026-2029) from $20B. Data-center signed agreements ~32GW total (Pennsylvania 25.2GW, Kentucky 8GW), up 3.5GW quarter-over-quarter; includes $2B incremental transmission spend, $500M Kentucky and $300M Pennsylvania system hardening/smart grid; 10.3% rate-base CAGR through 2029.",H
FE,2024-02-08,2024,2028,26000,,,none,earnings_call,"Q4/FY2023 earnings call Feb 8 2024: launched 'Energize365', a $26B five-year capital program (2024-2028), ~44% higher than the prior five-year plan. Transmission investments cited to 'enhance and upgrade the transmission system... to support projects like... new data center loads' but no DC-specific $ figure at this vintage.",H
FE,2026-02-19,2026,2030,36000,,1025,derived,earnings_call,"Q4/FY2025 earnings materials, article dated Feb 19 2026: five-year capital plan (2026-2030) up 30% to $36B, including $19B for transmission (+35%). CFO Jon Taylor: each 1GW of new data-center load requires ~$250M of transmission spending; company's own disclosed contracted data-center load is 4.1GW (12.9GW total pipeline through 2035, expected to lift system peak load 45% from 33.5GW in 2025 to 48.5GW in 2035). dc_attributed_usd_m derived here as 4.1GW x $250M/GW = $1,025M; the two inputs (4.1GW figure and $250M/GW figure) were confirmed via separate secondary sources from the same Q4-2025 earnings cycle rather than one single fetched document, so confidence is downgraded to M for this row.",M
AEE,2024-02-23,2024,2028,21900,2200,,none,earnings_call,"Q4/FY2023 earnings call Feb 23 2024: five-year capital program raised '$2.2 billion' to approximately $21.9B (2024-2028).",H
AEE,2025-02-14,2025,2029,27400,,,qualitative,earnings_call,"Q4/FY2024 earnings call Feb 14 2025: capital plan raised to 'up to $27.4 billion' (2025-2029) -- Ameren Missouri up to $17.5B, Ameren Illinois up to $7.0B, ATXI up to $2.9B -- described as a >20% increase vs. the prior plan. Construction agreements tied to new data centers (~2.3GW) signed, subject to Missouri PSC approval of a modified large-primary-service tariff. Sourced via WebSearch summary only (not a directly fetched primary earnings exhibit); confidence downgraded to M.",M
AEE,2026-02-12,2026,2030,31800,,,qualitative,earnings_call,"Q4/FY2025 earnings call Feb 12 2026: five-year capital plan raised to $31.8B (2026-2030), a 21% increase vs. the prior plan (percentage stated, not a clean $ delta, so revision left blank for the loader to derive). Multiple large data centers signed binding electric agreements with Ameren Missouri in February 2026 totaling 2.2GW of new demand; regulated rate base projected to grow from $28.8B (2025) to $47.7B (2030), a ~10.6% CAGR. No DC-specific $ total confirmed, so recorded as qualitative rather than stated.",H
WEC,2024-10-31,2025,2029,28000,4300,,qualitative,earnings_call,"Q3 2024 earnings call Oct 31 2024: five-year capital plan $28.0B (2025-2029), a stated '$4.3 billion increase' from the prior plan. Microsoft announced $20B+ of data-center investment in southern Wisconsin; WEC's own plan expects up to 2.6GW of load growth in the Milwaukee-to-Chicago corridor through 2030 and supports 1,800MW of additional demand (up 400MW from the 1,400MW in the prior plan). No DC-specific $ figure was broken out by WEC at this particular call (the $1B Microsoft-corridor figure was first stated at the 2026-03-02 vintage below and is not backdated here).",H
WEC,2025-10-30,2026,2030,36500,,,qualitative,press_release,"Investor update Oct 30 2025 (BizTimes): five-year capital spending to increase 30% to $36.5B (2026-2030) (percentage stated, not a clean $ delta, so revision left blank for the loader to derive). Coverage ties the increase to the Vantage Data Centers Port Washington campus (1.3GW growing to a potential 3.5GW). Sourced via WebSearch summary for the $ figure (only the date was independently confirmed by direct fetch); confidence downgraded to M.",M
