case,matter_no,region,project_name,filed_date,approved_date,status,disposition,kv,cost_usd_m,cost_quality,isd_year,work_type,driver,dc_strict,dc_broad,key_doc_kind,key_doc_url,scc_case_url,caption
PUR-2026-00076,146952,NoVA,Doubs-Goose Creek/Aspen-Doubs 500 kV Rebuild + Corridor Optimization,2026-05-22,,pending,,500,196.8,H,2031,rebuild|new_line|corridor,reliability_aging,0,1,order_notice_hearing,http://www.scc.virginia.gov/docketsearch/DOCS/8dc001%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146952,"Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 500 kV Doubs-Goose Creek Line #514 Rebuild, 500 kV Aspen-Doubs Line #5015, 500 kVGoose Creek-Woodside Line #5004, Corridor Optimization, et al."
PUR-2026-00062,146926,NoVA,Firehouse 230 kV Lines and Substation,2026-05-12,,pending,,230,65.0,H,2029,new_line|new_substation,data_center,1,1,order_notice_hearing,http://www.scc.virginia.gov/docketsearch/DOCS/8d4j01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146926,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 230 kV Firehouse Lines and Substation
PUR-2026-00063,146927,NoVA,Line #299 Remington CT-Marsh Run CT Rebuild,2026-05-18,,pending,,230,19.7,H,2029,rebuild,data_center,1,1,staff_report,http://www.scc.virginia.gov/docketsearch/DOCS/8dyb01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146927,Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Remington CT-Marsh Run CT Lines Line #299 Rebuild Project.
PUR-2026-00068,146936,NoVA,Allman Station 230 kV / F2PPC,2026-05-08,,pending,,230,97.6,H,2030,new_line|new_substation,data_center,1,1,staff_report,http://www.scc.virginia.gov/docketsearch/DOCS/8#br01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146936,Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Allman Station 230kV Transmission Project
PUR-2026-00021,146795,NoVA,Morrisville-Wishing Star 500 kV Line #5008,2026-02-27,,pending,,500,873.6,H,2030,new_line|rebuild|corridor,data_center,0,1,order_notice_hearing,http://www.scc.virginia.gov/docketsearch/DOCS/8bzv01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146795,"Virginia Electric and Power Company - For approval & certification of electric transmission facilities: 500 kV Morrisville-Wishing Star Line #5008, 230 kV Anderson Branch-Morrisville Line #2464, Expanded Corridor Optimization & Related Projects"
PUR-2025-00056,146021,NoVA,Golden-Mars 500/230 kV Lines + Lockridge/Sojourner loops,2025-03-28,2026-06-29,closed,Approved,500,516.5,H,2028,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/8dk%2401%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146021,"Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 500 kV and 230 kV Golden-Mars Lines, Lockridge 230 kV Loop, Sojourner 230 and Related Projects (Route 3A)"
PUR-2025-00046,146001,NoVA,Hornbaker 230 kV Line Loop and Switching Station,2025-03-18,2025-12-11,closed,Adopted,230,94.3,H,2028,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/89mh01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146001,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Hornbaker 230 kV Line Loop and Hornbaker Switching Station
PUR-2025-00032,145902,NoVA,Culpeper Technology Zone 230 kV Loop,2025-02-20,2026-03-12,closed,Approved,230,253.7,H,2028,new_line|conversion,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/8b0@01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145902,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Culpeper Technology Zone 230 kV Loop and Lines #2 and #1065 Conversion Project
PUR-2024-00225,145818,NoVA,Line #2183 Evergreen Mills Loop,2024-12-17,2025-10-17,closed,Approved,230,9.5,H,2027,new_line|loop,load_growth_other,0,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/88_801%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145818,Virginia Electric and Power Company - For approval and certification of electric facilities: Line #2183 230 kV Evergreen Mills Loop
PUR-2024-00170,145532,NoVA,Centreport 230 kV Loop and Substation,2024-09-19,2025-06-10,closed,Approved,230,50.5,H,2027,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/862q01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145532,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 230 kV Centreport Loop and Centreport Substation
PUR-2024-00142,145424,NoVA,Aquia Harbour-Possum Point Lines #29/#252/#2083/#568 Rebuild,2024-08-16,2025-03-05,closed,Approved,500,205.5,H,2029,rebuild,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/846r01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145424,"Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Aquia Harbour - Possum Point Lines #29, #252, #2083, and #568 Rebuild"
PUR-2024-00135,145356,NoVA,Lines #210/#243 Extension + Edsall Substation,2024-07-30,2025-08-08,closed,Approved,230,23.1,H,2027,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/877#01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145356,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 230 kV Lines #210 and #243 Extension and 230-34.5 kV Edsall Substation
PUR-2024-00131,145318,NoVA,Rebuild/Reconductor/New Line to Network Takeoff Substation,2024-07-23,2025-03-19,closed,Approved,230,168.3,H,2027,rebuild|reconductor|new_line,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/84#_01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145318,"Virginia Electric and Power Company - For approval and certification of electric transmission facilities; 230 kV Rebuild, Reconductoring, and New Line Projects to Network Takeoff Substation"
PUR-2024-00035,144988,NoVA,Fredericksburg-Aquia Harbour Lines #29/#2104/#2157 Partial Rebuild,2024-03-14,2025-02-12,closed,Approved,500,132.9,H,2026,rebuild,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/83tf01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/144988,"Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Fredericksburg-Aquia Harbour Lines #29, #2104, and #2157 Partial Rebuild"
PUR-2024-00044,145031,NoVA,Apollo-Twin Creeks Lines + 5 substations,2024-03-27,,closed,Approved,500,280.7,H,2028,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/83q801%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145031,"Virginia Electric and Power Company - For approval of certification of electric transmission facilities: 230 kV Apollo-Twin Creeks Lines and Twin Creeks, Sycolin Creek, Starlight, Lunar, and Apollo Substations"
PUR-2024-00032,144984,NoVA,Aspen Substation + Aspen-Goose Creek #5002 + Aspen-Golden #5001,2024-03-13,2025-02-06,closed,Approved,500,700.1,H,2028,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/83q_01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/144984,"Virginia Electric & Power Company - For approval & certification electric transmission facilities: 500-230 kV Aspen Substation, 500 kV Aspen-Goose Creek Line #5002, 500 kV & 230 kV Aspen-Golden Lines #5001, et al."
PUR-2024-00021,144886,NoVA,Daves Store 230 kV Line Extension,2024-02-12,2024-10-28,closed,Approved,230,66.2,H,2026,new_line,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/82b@01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/144886,Virginia Electric and Power Co - For approval and certification of electric transmission facilities: Daves Store 230 kV Line Extension
PUR-2023-00049,143975,NoVA,Line #2011 230 kV Partial Rebuild (Clifton-Winters Branch),2023-04-03,2023-10-23,closed,Approved,230,31.7,H,,rebuild|reconductor,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7vc@01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143975,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Line #2011 230 kV Partial Rebuild Project
PUR-2023-00029,143928,NoVA,Possum Point 2nd Transformer + Tie Line #2216,2023-03-10,2024-06-03,closed,Approved,230,31.5,H,2025,transformer|new_line,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7zkb01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143928,Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Possum Point 2nd Transformer and New 230 kV Tie Line #2216
PUR-2022-00198,143685,NoVA,Cirrus-Keyser 230 kV Loop,2022-11-22,,closed,Approved,230,63.1,H,2025,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7vc801%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143685,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Cirrus - Keyser 230 kV Loop and Related Projects
PUR-2022-00197,143682,NoVA,Altair 230 kV Loop and Switching Station,2022-11-22,2023-06-07,closed,Approved,230,40.0,L,2024,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7s_m01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143682,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 23- kV Altair Loop and Altair Switching Station
PUR-2022-00183,143634,NoVA,Wishing Star Substation + Mars-Wishing Star Lines + Mars Substation,2022-11-02,2023-04-05,closed,Granted,500,715.7,H,2025,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7rdw01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143634,"Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 500-230 kV Wishing Star Substation, 500 kV and 230 kV Mars-Wishing Star Lines, 500-230 KV Mars Substation and Mars 230 kV loop"
PUR-2022-00123,143313,NoVA,Line #183 Partial Rebuild,2022-08-04,2023-04-24,closed,Approved,230,38.2,H,2025,rebuild,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7r_k01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143313,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Line #183 Partial Rebuild Project
PUR-2022-00027,142939,NoVA,Nimbus Loop + Substation + Farmwell-Nimbus Line,2022-02-24,2022-10-14,closed,Approved,230,37.5,H,2024,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7_#s01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142939,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Nimbus 230 kV Line Loop and Nimbus Substation and 230 kV Farmwell-Nimbus Transmission Line
PUR-2022-00012,142852,NoVA,Aviator 230 kV Loop and Substation,2022-02-03,2022-11-28,closed,Approved,230,80.2,H,2024,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7p7l01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142852,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Aviator 230 kV Line Loop and Aviator Substation
